City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Ampanihy,MG,-24.7,44.75,66.65,78,30,15.59,scattered clouds
254,Istmina,CO,5.1605,-76.684,76.15,91,100,2.62,overcast clouds
255,Burnie,AU,-41.0667,145.9167,50.59,88,100,15.79,overcast clouds
256,Catamarca,AR,-28.4696,-65.7852,81.77,30,1,5.01,clear sky
257,Catuday,PH,16.2923,119.8062,78.6,81,90,2.48,overcast clouds
258,Cofradia,HN,15.4,-88.15,86.88,73,53,3.74,broken clouds
259,Tiverton,GB,50.9,-3.4833,68.02,83,75,3.0,broken clouds
260,Flinders,AU,-34.5833,150.8552,61.25,66,0,7.87,clear sky
261,Esperance,AU,-33.8667,121.9,54.21,65,78,14.27,broken clouds
262,Herne Bay,GB,51.373,1.1286,71.01,76,100,1.01,overcast clouds
263,Vila,PT,42.0304,-8.1588,69.69,42,83,4.29,broken clouds
264,Zwedru,LR,6.0667,-8.1281,78.78,92,97,3.47,moderate rain
265,Sevierville,US,35.8681,-83.5618,68.59,57,40,0.0,scattered clouds
266,Altay,CN,47.8667,88.1167,45.86,38,94,4.14,overcast clouds
267,Riverton,US,40.5219,-111.9391,75.29,36,1,1.99,clear sky
268,Naze,JP,28.3667,129.4833,75.69,69,0,8.43,clear sky
269,Shache,CN,38.4167,77.2406,73.0,18,0,5.86,clear sky
270,Manbij,SY,36.5281,37.9549,66.97,48,0,21.07,clear sky
271,Inirida,CO,3.8653,-67.9239,80.37,78,100,4.12,overcast clouds
272,Necochea,AR,-38.5473,-58.7368,63.03,87,100,9.42,overcast clouds
273,Mbekenyera,TZ,-10.0,38.9833,73.56,69,62,8.97,broken clouds
274,Puerto Madero,MX,14.7208,-92.4215,88.0,74,40,3.44,scattered clouds
275,Victoria,HK,22.2855,114.1577,86.32,83,76,1.01,broken clouds
276,Ngunguru,NZ,-35.6167,174.5,57.16,87,100,19.33,overcast clouds
277,Brae,GB,60.3964,-1.353,49.91,71,96,12.06,overcast clouds
278,Xique-Xique,BR,-10.8218,-42.7263,92.46,35,18,7.76,few clouds
279,Boguchany,RU,58.3814,97.4531,33.1,93,96,2.26,overcast clouds
280,Geraldton,AU,-28.7667,114.6,57.61,88,0,9.22,clear sky
281,Komsomolskiy,UZ,40.4272,71.7189,66.92,48,0,4.61,clear sky
282,Acapulco,MX,16.8634,-99.8901,85.82,79,40,6.91,scattered clouds
283,Chodov,CZ,50.2402,12.7455,64.72,51,0,8.05,clear sky
284,Henties Bay,NA,-22.116,14.2845,57.85,81,6,9.13,clear sky
285,Waipawa,NZ,-41.4122,175.5153,52.45,81,14,13.82,few clouds
286,Hasaki,JP,35.7333,140.8333,72.0,72,97,13.82,overcast clouds
287,Behbahan,IR,30.5959,50.2417,87.93,11,0,4.18,clear sky
288,Price,US,39.5994,-110.8107,65.46,24,1,0.0,clear sky
289,Vryburg,ZA,-26.9566,24.7284,73.06,22,62,8.28,broken clouds
290,Tuku,TW,23.6778,120.3926,81.86,73,81,3.78,broken clouds
291,Palmer,US,42.1584,-72.3287,81.63,61,29,8.01,scattered clouds
292,Ixtapa,MX,20.7,-105.2,88.23,70,1,0.0,clear sky
293,Haines Junction,CA,60.7522,-137.5108,35.55,87,100,4.61,light rain
294,Yaan,NG,7.3833,8.5667,77.56,86,89,5.14,light rain
295,Morshyn,UA,49.1565,23.8723,52.88,62,98,14.63,overcast clouds
296,Taoudenni,ML,22.6783,-3.9836,109.62,6,0,5.5,clear sky
297,Sitka,US,57.0531,-135.33,53.49,71,90,24.16,moderate rain
298,Vao,NC,-22.6667,167.4833,66.52,60,4,16.49,clear sky
299,Hualmay,PE,-11.0964,-77.6139,67.73,70,68,10.42,broken clouds
300,Mizdah,LY,31.4451,12.9801,89.08,19,27,13.51,scattered clouds
301,Stromness,GB,58.965,-3.296,52.05,75,52,7.0,broken clouds
302,Gambela,ET,8.25,34.5833,74.55,85,71,2.89,broken clouds
303,San Patricio,US,28.017,-97.5169,84.87,29,2,6.24,clear sky
304,La Ronge,CA,55.1001,-105.2842,49.75,59,98,16.58,overcast clouds
305,Mitu,CO,1.1983,-70.1733,73.11,98,100,2.44,overcast clouds
306,Darnah,LY,32.767,22.6367,74.91,67,11,18.92,few clouds
307,Big Spring,US,32.2504,-101.4787,81.28,22,1,13.96,clear sky
308,Broome,US,42.2506,-75.833,71.38,77,90,5.01,heavy intensity rain
309,Sabang,ID,5.8933,95.3214,82.6,79,94,12.66,overcast clouds
310,Padang,ID,-0.9492,100.3543,77.05,88,59,3.78,broken clouds
311,Beringovskiy,RU,63.05,179.3167,36.55,98,100,6.15,light rain
312,Russell,US,32.3502,-85.1999,72.97,56,0,9.33,clear sky
313,Lata,PT,40.1629,-8.3327,72.91,79,100,3.94,overcast clouds
314,Carutapera,BR,-1.195,-46.02,88.3,53,99,8.7,overcast clouds
315,Bengkulu,ID,-3.8004,102.2655,75.96,91,69,4.18,broken clouds
316,Faanui,PF,-16.4833,-151.75,77.72,69,13,9.22,few clouds
317,Coahuayana,MX,18.7333,-103.6833,90.88,61,3,3.04,clear sky
318,Oranjestad,AW,12.524,-70.027,83.64,83,100,18.41,overcast clouds
319,Rota,ES,36.6224,-6.3586,80.69,78,75,16.11,broken clouds
320,Isilkul,RU,54.9109,71.2728,36.63,75,85,5.39,overcast clouds
321,Teknaf,BD,20.8624,92.3058,79.32,88,86,4.56,light rain
322,Komsomolskoye,RU,55.2567,47.5461,47.84,89,100,15.57,light rain
323,Eganville,CA,45.5334,-77.0994,58.33,99,100,3.65,moderate rain
324,Mocajuba,BR,-2.5842,-49.5072,96.12,39,74,5.48,broken clouds
